ID,Language_ID,Headword,Part_Of_Speech,Abstract_Noun,Agentive_Noun,Alternative_Form,Associated_Phrasemes,Attributive,Contains,Dialectal_Distribution,Diffusive_Form,Entry_IDs,Etymology,Infinitive,MarkedPossession,Morphological_Segmentation,NonPossessed_Form,Phonetic_Form,Plural,Possessed_Plural,Predictable_Dialectal_Variants,Related_Dialectal_Form,Source,Variant_Form
TSE57321,tzh,tak'ajtes,t.v.,,,,,,TSE57301,,,,,,,tak' -aj -tes,,,,,,"Oxchuc, Villa Las Rosas [ta'ajtes](TSE56891); Petalcingo [tak'antes](TSE57341); Tenejapa <tak'ates>",,
TSE57331,tzh,tak'an,adj.,"-il, -ul",,,,,,,,,,,,tak' -an,,,,,,,,
TSE57341,tzh,tak'antes,t.v.,,,,,,TSE57331,Petalcingo,,,,,,tak' -an -tes,,,,,,,,
TSE57351,tzh,take,part.,,,,,,,Oxchuc,,,,,,,,,,,,,,
TSE57361,tzh,takij,i.v.,,,,,,,,,,,,,tak -ij,,,,,alternancia -Vj: <takej>,var. Center [takinaj](TSE57451),,
TSE57371,tzh,takijtes,t.v.,,,,,,TSE57361,,,,,,,tak -ij -tes,,,,,,Oxchuc [takintes](TSE57471); Tenejapa [takutes](TSE57491),,
TSE57381,tzh,takin,adj.,"-al, -il, -ul",,,[takin sti'](TSE57421); [takin yo'tan](TSE57441),,,,[takintik](TSE57382),,,,,tak -in,,,,,,,,
TSE57382,tzh,takintik,diff.adj.,,,,,,TSE57381,,,,,,,tak -in -tik,,,,,,,,
TSE57391,tzh,tak'in,n.,,,,[stak'inal xchikin](TSE57392),,,,,,,,-al,"ta + k'in, de taa'=q'iinh ""excremento del sol"", difundido del preprotocholano/yucatecano",,,,,,Villa Las Rosas <ta'in>,R012[Morphological_Segmentation],
TSE57392,tzh,stak'inal xchikin,n.phr.(n.+psr.NP),,,,,,TSE12181 ; TSE57391,,,,,,,,,,,,,,,
TSE57401,tzh,takin k'inal,n.,,,,,,TSE30901,,,,,,,tak -in + k'in -al,,,,,,,,
TSE57411,tzh,takin sit waj,n.,,,,,,,"Cancuc, Guaquitepec, Oxchuc",,,,,,[tak -in + sit] + waj,,,,,,,,
TSE57421,tzh,takin sti',phr.(n.v.p.+subj.NP),,,,,,TSE57381 ; TSE59091,,,,,,,,,,,,,,,
TSE57431,tzh,takin ti'il,n.,,,,,,TSE57381 ; TSE59091,,,,,,,tak -in + ti' -il,,,,,,,,
